,name,kindof,dry,oily,mix,normal,sensitive,ance_adult,ance_child,redness,pores,blackhead,freckles,clarity,price,url,,,,,,
,ルナメアAC,wash,87,0,88,0,65,96,0,0,82,0,0,0,2310,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B00ORDOC0K&linkId=381d3c7b5c6c5ccd686ae718a9e39fe0&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ロゼット(青),wash,89,0,86,0,89,95,0,0,85,0,0,0,825,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07J2X4N5G&linkId=6369dd96d18cb7b7c5fdfaa2db384520&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ORBIS,wash,86,0,85,0,88,93,0,0,80,0,0,0,1430,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B00V82YCZI&linkId=41714ad9b569cb62afd4f84306a1f734&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ラロッシュポゼ,wash,0,89,0,65,0,0,89,0,88,0,0,0,2750,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B00150GP3U&linkId=ea67371d7331774f424e830ddc5a6a50&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,Dove,wash,0,88,0,0,0,0,93,0,89,0,0,0,484,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07NVFFC3B&linkId=3eaf96303a7ab0b174607a497d2dc4ff&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,FANCL 酵素洗顔,wash,85,71,0,88,0,0,70,0,86,66,0,0,1980,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07VYND937&linkId=60c7cbf3c9ac48341b71cccb21bfae71&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,skinvii パウダー,wash,75,0,0,0,0,62,60,80,72,77,0,0,1000,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B084Q1X27Z&linkId=0e77793b74bb4ca23b18a4e7b8025fc9&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ロゼッタ(緑),wash,88,0,89,0,77,90,0,0,90,0,0,0,825,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07JV9S421&linkId=cee1f61906c5fd056bfff933c0d60be2&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,なめらか本舗 しっとり,wash,83,0,0,87,0,0,0,0,74,0,0,0,473,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B01MY72AGX&linkId=755ae3f083f29511c6058167233f0665&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,Curel 泡洗顔,wash,97,0,0,0,91,0,0,0,0,0,0,0,1320,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B0096HZBGG&linkId=eff5eebdffc377b1103a5ccd6cbae056&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ロゼット(桃),wash,95,0,0,0,92,0,0,0,0,0,0,0,825,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07J2QQXX7&linkId=ce5cce170b2a7eafd7e133f2d98cf51f&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ロゼット(無添加※),wash,60,0,0,92,0,0,0,0,80,0,0,0,825,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B014VYKI5W&linkId=cfde842a5b0b2d79caee825b9121432d&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,innisfree グリーン,wash,62,0,0,83,0,0,0,0,0,0,0,0,1262,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07NS4D8TK&linkId=00076ec8096976fa0104ce38553a24b6&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,NIVEA,wash,63,0,0,81,0,0,0,0,0,0,0,0,495,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07B14CR4W&linkId=0da24f4c53a2c11340101042679462d8&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,IHADA,tone,82,0,0,0,82,0,0,0,0,0,0,0,1650,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B079SW92KN&linkId=97127d93f29b621a9a1ae7b2c68d2c26&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ハトムギ,tone,68,0,0,70,0,0,0,0,0,0,0,0,610,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B000FQP2YS&linkId=99975dc810e029486df918e524ec1e3c&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ニキビケア,tone,72,0,72,0,72,74,95,0,0,0,0,0,2080,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B075L51189&linkId=5d8b617bcb4d8375ddbb145a6cf3507b&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,ORBIS,tone,81,0,74,80,60,96,0,0,0,0,0,0,1650,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B00V8330JQ&linkId=d55416e8b9107176497563a540c451f1&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,EVTOS(薬用),tone,78,0,88,0,77,95,0,0,0,0,92,70,4180,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B0143X3I6C&linkId=6520f2865457608c3050121a94bd58f8&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,メラノCC,tone,76,0,0,65,74,0,0,0,0,0,90,71,793,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B07GCG4MF1&linkId=0575d2258698d83e80795b007ed5339d&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
,Curel,tone,65,88,0,0,65,0,0,0,0,0,0,0,1830,"https://rcm-fe.amazon-adsystem.com/e/cm?ref=tf_til&t=shp103-22&m=amazon&o=9&p=8&l=as1&IS1=1&detail=1&asins=B007MWYUXM&linkId=1d57eaf5839f3bdf0fe8563c3947956d&bc1=ffffff&amp;lt1=_blank&fc1=333333&lc1=0066c0&bg1=ffffff&f=ifr",,,,,,
